uniprotID_S288c	Standard _A	Standard _B	Standard _C
P53323	4.88E-03	4.43E-03	3.53E-03
P39927	NaN	NaN	NaN
P12954	1.16E-02	NaN	NaN
P38712	NaN	NaN	NaN
P32500	2.98E-02	2.86E-02	2.76E-02
P48569	1.58E-02	1.56E-02	1.80E-02
P36165	4.86E-02	5.43E-02	3.51E-02
P40052	NaN	NaN	NaN
P32864	NaN	NaN	5.51E-03
P48813	1.71E-02	1.23E-02	6.20E-03
Q06169	4.23E-03	5.64E-03	6.48E-03
P38156	NaN	NaN	NaN
P34077	2.17E-01	1.85E-01	1.88E-01
P39006	NaN	NaN	8.32E-03
P53125	5.77E-03	3.80E-03	6.02E-03
P25632	3.38E-02	3.18E-02	2.61E-02
P32909	1.65E-02	1.57E-02	1.24E-02
Q06506	NaN	2.52E-02	2.67E-02
Q07688	8.49E-03	1.60E-02	1.35E-02
P34219	NaN	NaN	NaN
P46982	5.77E-02	6.50E-02	6.51E-02
P40064	1.79E-02	2.04E-02	1.94E-02
Q06608	1.04E-02	NaN	3.85E-03
P11746	NaN	1.35E-02	1.15E-02
Q04806	NaN	NaN	4.16E-03
Q02887	NaN	NaN	2.20E-03
P53066	3.81E-02	6.40E-02	7.19E-02
P14682	NaN	NaN	NaN
P38080	4.14E-03	5.51E-03	NaN
P48234	NaN	NaN	NaN
P08425	NaN	NaN	4.35E-03
P38869	NaN	NaN	NaN
P36525	5.68E-03	4.75E-03	5.77E-03
Q03266	NaN	NaN	NaN
P46682	NaN	NaN	NaN
P22434	NaN	7.56E-03	1.15E-02
P53729	3.95E-03	NaN	NaN
P40207	NaN	NaN	2.02E-03
P38523	NaN	NaN	NaN
P53829	5.76E-03	7.82E-03	7.41E-03
P38902	3.89E-03	5.39E-03	3.79E-03
P25560	3.54E-02	2.04E-02	2.36E-02
P32487	NaN	NaN	NaN
P32388	1.37E-02	9.98E-03	1.08E-02
P38719	1.39E-02	8.38E-03	1.12E-02
Q12296	NaN	NaN	2.67E-03
Q12387	1.01E-02	NaN	8.45E-03
Q03533	1.57E-02	1.08E-02	1.80E-02
P33302	4.30E-03	NaN	5.45E-03
Q02784	1.46E-02	1.21E-02	1.48E-02
P21825	3.17E-02	3.67E-02	2.35E-02
P29703	NaN	NaN	NaN
P53177	NaN	NaN	NaN
P36090	NaN	NaN	NaN
P53322	3.51E-02	3.02E-02	3.04E-02
P53290	1.26E-02	NaN	NaN
P38112	NaN	NaN	NaN
P40959	3.93E-02	3.13E-02	3.28E-02
P25296	NaN	NaN	NaN
P06100	3.89E-02	4.25E-02	3.18E-02
P32349	6.20E-03	1.25E-02	9.10E-03
Q03778	NaN	NaN	1.48E-03
Q92325	2.65E-02	3.22E-02	1.69E-02
P40481	NaN	NaN	NaN
P23797	1.74E-02	1.81E-02	2.06E-02
Q05636	NaN	NaN	NaN
P53258	NaN	2.23E-03	NaN
Q02771	NaN	NaN	NaN
P14772	NaN	NaN	NaN
P06182	8.36E-03	6.65E-03	5.90E-03
Q08245	3.03E-02	4.83E-02	3.99E-02
Q06683	1.39E-02	1.20E-02	1.36E-02
P53329	5.22E-02	5.32E-02	5.16E-02
Q9P305	2.91E-02	2.62E-02	3.09E-02
P40545	NaN	5.76E-03	4.88E-03
Q12427	NaN	NaN	1.46E-02
P33310	1.45E-02	9.65E-03	5.23E-03
Q12108	9.26E-02	1.08E-01	5.90E-02
Q99312	4.06E-02	4.09E-02	3.72E-02
P47173	1.68E-02	1.56E-02	2.33E-02
Q08217	2.59E-02	2.39E-02	1.94E-02
P40357	1.21E-02	1.07E-02	1.19E-02
P07834	6.30E-03	7.20E-03	1.66E-02
P28239	NaN	NaN	NaN
P53139	5.26E-02	4.17E-02	4.30E-02
P40535	NaN	NaN	3.65E-03
P40344	1.56E-02	1.59E-02	1.70E-02
P33301	6.53E-02	5.95E-02	5.96E-02
P35201	NaN	NaN	NaN
P40168	9.97E-02	9.40E-02	9.29E-02
P42937	6.47E-03	4.66E-03	2.86E-03
P38266	1.38E-02	9.67E-03	1.04E-02
P40078	1.73E-02	2.90E-02	2.60E-02
P36135	NaN	1.23E-02	NaN
Q00582	2.32E-02	2.03E-02	2.89E-02
P26793	2.13E-02	1.76E-02	1.57E-02
Q07655	2.95E-02	2.44E-02	2.21E-02
P23285	NaN	NaN	1.22E-02
P32617	9.92E-03	1.59E-02	1.53E-02
P25332	4.80E-03	5.13E-03	4.50E-03
P38805	8.71E-03	9.69E-03	9.76E-03
Q02795	NaN	NaN	NaN
P33311	NaN	NaN	NaN
P53264	NaN	NaN	8.33E-03
P32328	NaN	NaN	NaN
P47064	2.28E-02	2.96E-02	2.65E-02
Q12486	NaN	NaN	1.84E-02
P43132	1.24E-02	1.02E-02	3.87E-03
Q03305	NaN	1.46E-02	NaN
P53969	4.33E-03	NaN	NaN
P47025	NaN	NaN	NaN
Q08023	9.54E-02	1.17E-01	1.09E-01
P53848	2.23E-01	2.22E-01	2.29E-01
P25358	2.70E-02	2.47E-02	3.06E-02
P40046	NaN	NaN	3.35E-03
P53894	1.95E-02	1.45E-02	1.51E-02
Q03735	3.25E-02	6.63E-03	2.90E-02
Q12291	NaN	NaN	4.12E-03
Q12396	4.37E-02	4.35E-02	4.05E-02
P39960	1.68E-02	1.56E-02	1.20E-02
P11433	NaN	NaN	2.37E-03
P47164	1.44E-02	2.89E-02	2.81E-02
P32862	6.44E-03	5.45E-03	4.80E-03
P38635	NaN	NaN	3.21E-03
P36024	NaN	NaN	1.34E-02
P04039	5.14E-02	5.74E-02	5.78E-02
P40081	1.74E-02	1.90E-02	9.51E-03
P31109	9.91E-03	1.70E-02	2.03E-02
Q12178	4.25E-02	4.25E-02	4.22E-02
Q12481	8.53E-03	3.94E-03	7.80E-03
P32798	5.83E-02	8.23E-02	6.93E-02
P32048	4.17E-03	3.94E-03	3.01E-03
P43638	NaN	NaN	NaN
Q03786	NaN	NaN	2.24E-03
P33417	NaN	7.67E-03	7.46E-03
P53309	1.82E-01	1.89E-01	2.21E-01
Q3E846	NaN	NaN	NaN
P34251	3.21E-03	3.80E-03	3.49E-03
P38172	1.21E-02	1.29E-02	1.37E-02
P19516	NaN	6.60E-03	3.81E-03
P38072	NaN	NaN	NaN
P38698	NaN	NaN	2.77E-03
P25365	NaN	NaN	NaN
Q12276	NaN	NaN	NaN
Q02770	1.97E-02	2.01E-02	2.25E-02
P52593	2.21E-02	1.59E-02	2.21E-02
P36149	3.58E-03	NaN	3.14E-03
P36076	NaN	NaN	1.86E-03
P47107	7.82E-02	8.42E-02	1.40E-01
Q02805	NaN	NaN	NaN
P34163	7.24E-02	6.68E-02	6.68E-02
Q06479	5.87E-03	NaN	NaN
P18851	NaN	NaN	NaN
Q99189	NaN	NaN	3.24E-03
P45976	NaN	NaN	7.91E-03
Q04344	NaN	NaN	NaN
P27809	NaN	NaN	3.23E-03
P39013	NaN	NaN	NaN
P40499	NaN	3.77E-03	4.21E-03
P53378	3.55E-02	6.21E-02	6.00E-02
P37838	3.05E-03	NaN	NaN
P05318	NaN	8.37E-04	NaN
P38961	NaN	NaN	2.57E-03
P40579	NaN	NaN	NaN
P40002	6.18E-03	1.09E-02	9.21E-03
